ID,Backlog,In Analysis,Ready for Development,In Development,In Sign Off,Done,Type
DATA-1,2023-04-16,,2023-08-22,2023-09-05,2023-09-25,2023-09-26,Story
DATA-2,2023-04-16,2023-08-22,2023-08-28,2023-09-12,,2023-09-13,Story
DATA-3,2023-04-16,,,,,,Story
DATA-4,2023-04-23,,,2023-07-24,2023-07-30,2023-07-31,Story
DATA-5,2023-04-23,2023-08-30,2023-09-03,2023-09-25,2023-10-02,2023-10-02,Story
DATA-6,2023-06-11,,,2023-07-09,,2023-07-13,Story
DATA-7,2023-06-13,2023-08-08,2023-08-14,2023-08-22,2023-08-28,2023-08-28,Story
DATA-8,2023-06-13,2023-07-26,2023-07-31,2023-08-02,2023-08-06,2023-08-07,Story
DATA-9,2023-06-18,,,,2023-07-26,2023-07-26,Task
DATA-10,2023-06-20,,2023-07-26,2023-08-02,2023-08-15,2023-08-21,Task
DATA-11,2023-06-21,,2023-07-26,,2023-07-26,2023-07-27,Task
DATA-12,2023-06-27,,,2023-07-20,,2023-07-23,Story
DATA-13,2023-06-27,2023-08-08,2023-08-14,2023-08-14,2023-08-28,2023-08-29,Story
DATA-14,2023-07-11,,,2023-07-13,,2023-07-18,Story
DATA-15,2023-07-12,,,,,,Story
DATA-16,2023-07-12,,,,,,Story
DATA-17,2023-07-12,2024-01-10,2024-01-11,2024-01-16,,2024-01-17,Story
DATA-18,2023-07-13,2023-07-26,2023-07-31,2023-08-07,,2023-08-08,Story
DATA-19,2023-07-23,,2023-07-26,2023-07-31,2023-08-07,2023-08-08,Story
DATA-20,2023-07-25,,2023-07-26,2023-08-08,2023-08-13,2023-08-15,Task
DATA-21,2023-07-25,,,,,,Story
DATA-22,2023-08-06,2023-08-07,2023-08-08,2023-08-13,,2023-08-14,Story
DATA-23,2023-08-06,2023-08-07,2023-08-08,2023-08-14,2023-08-14,2023-08-14,Story
DATA-24,2023-08-07,,,2023-09-25,2023-09-26,2023-09-27,Story
DATA-25,2023-08-07,2023-08-08,2023-08-14,2023-08-17,2023-08-22,2023-08-22,Story
DATA-26,2023-08-07,2023-11-21,2023-11-27,2023-12-03,,2023-12-20,Story
DATA-27,2023-08-08,,,,,,Story
DATA-28,2023-08-08,,,,,,Story
DATA-29,2023-08-14,,,2023-08-14,2023-08-14,2023-08-14,Story
DATA-30,2023-08-15,,2023-11-05,2023-11-05,2023-11-05,2023-11-06,Story
DATA-31,2023-08-15,,2023-08-22,2023-08-23,2023-09-10,2023-09-11,Story
DATA-32,2023-08-15,,,,,,Story
DATA-33,2023-08-15,2023-08-23,2023-08-29,2023-10-04,2023-10-04,2023-10-04,Story
DATA-34,2023-08-15,2023-08-31,2023-09-04,2023-09-10,2023-09-12,2023-09-12,Story
DATA-35,2023-08-17,,2023-08-22,2023-08-23,,2023-08-24,Task
DATA-36,2023-08-20,2023-10-08,2023-10-11,2023-10-18,2023-10-22,2023-10-22,Story
DATA-37,2023-08-21,,2023-08-21,2023-08-24,,2023-08-31,Task
DATA-38,2023-08-23,,,,,,Story
DATA-39,2023-08-27,2023-10-08,2023-10-18,2023-10-26,2023-10-30,2023-10-30,Story
DATA-40,2023-08-27,2023-08-27,,2023-08-28,2023-08-30,2023-08-30,Story
DATA-41,2023-08-28,2023-08-29,2023-08-30,2023-10-09,2023-10-09,2023-10-10,Story
DATA-42,2023-08-30,,2023-08-30,2023-08-31,2023-08-31,2023-09-03,Story
DATA-43,2023-08-30,,,,,,Story
DATA-44,2023-09-03,,2023-09-03,2023-09-03,,2023-09-03,Bug
DATA-45,2023-09-03,2023-09-03,2023-09-03,2023-09-03,2023-09-04,2023-09-05,Story
DATA-46,2023-09-04,,,,,2023-09-10,Bug
DATA-47,2023-09-05,,2023-10-10,2023-10-11,2023-11-16,2023-11-21,Task
DATA-48,2023-09-05,,,,,,Task
DATA-49,2023-09-05,,,,,2023-10-11,Task
DATA-50,2023-09-05,,2023-09-06,2023-09-18,2023-09-24,2023-09-26,Task
DATA-51,2023-09-06,,,2023-09-06,2023-10-30,2023-11-02,Bug
DATA-52,2023-09-10,,2023-09-10,2023-09-22,,2023-09-25,Bug
DATA-53,2023-09-10,,2023-09-10,2023-09-19,,2023-09-19,Task
DATA-54,2023-09-12,,,,,2023-12-17,Bug
DATA-55,2023-09-12,,,,,,Story
DATA-56,2023-09-18,,,,,,Story
DATA-57,2023-09-20,,,,,,Task
DATA-58,2023-09-20,2023-09-27,2023-09-27,2023-09-27,2023-09-27,2023-09-27,Bug
DATA-59,2023-09-20,,,,,2023-10-05,Bug
DATA-60,2023-09-20,,2023-09-26,2023-10-08,2023-10-09,2023-10-09,Task
DATA-61,2023-09-20,,2023-09-26,2023-10-08,,2023-10-08,Task
DATA-62,2023-09-24,,2023-10-15,2023-11-19,2023-11-23,2023-11-26,Task
DATA-63,2023-09-24,,,,,,Task
DATA-64,2023-09-24,,2023-09-26,2023-09-27,,2023-10-05,Task
DATA-65,2023-09-25,,,2023-09-25,,2023-09-26,Bug
DATA-66,2023-09-25,,,2023-09-27,2023-09-27,2023-09-27,Bug
DATA-67,2023-09-25,,,,,,Story
DATA-68,2023-09-26,,2023-09-26,2023-10-10,,2023-10-11,Task
DATA-69,2023-09-26,,2023-09-26,2023-10-09,,2023-10-12,Story
DATA-70,2023-09-28,,,2023-09-28,,2023-09-28,Task
DATA-71,2023-09-28,,2023-12-11,2023-12-11,2024-01-09,2024-01-09,Story
DATA-72,2023-09-28,,,,,,Bug
DATA-73,2023-10-01,,,,,2023-11-26,Task
DATA-74,2023-10-05,,,2023-10-05,,2023-10-10,Bug
DATA-75,2023-10-09,,2023-10-10,2023-10-10,2023-10-25,2023-10-30,Story
DATA-76,2023-10-09,,2023-10-10,2023-11-02,2023-11-05,2023-11-06,Story
DATA-77,2023-10-10,,2023-11-05,2023-11-06,2023-11-07,2023-11-08,Story
DATA-78,2023-10-10,2023-11-07,2023-11-07,2023-11-07,2023-11-08,2023-11-08,Story
DATA-79,2023-10-10,2023-11-08,,2023-11-08,2023-11-08,2023-11-08,Story
DATA-80,2023-10-10,2023-12-10,2023-12-11,2024-01-10,2024-01-16,2024-01-16,Story
DATA-81,2023-10-10,,,2023-10-30,2023-11-30,2023-12-03,Story
DATA-82,2023-10-10,2023-12-12,2023-12-12,2023-12-17,2023-12-19,2023-12-19,Story
DATA-83,2023-10-10,2023-11-08,2023-11-08,2023-11-08,2023-11-08,2023-11-08,Story
DATA-84,2023-10-10,2023-12-17,2023-12-19,2024-01-10,2024-01-15,2024-01-16,Story
DATA-85,2023-10-10,2023-11-09,2023-11-14,2023-11-16,2023-11-30,2023-11-30,Story
DATA-86,2023-10-10,,,,,,Story
DATA-87,2023-10-10,,,,,,Story
DATA-88,2023-10-10,,,,,,Story
DATA-89,2023-10-12,,2023-11-07,,2023-11-08,2023-11-08,Story
DATA-90,2023-10-12,,,,,,Story
DATA-91,2023-10-12,2023-10-12,2023-10-12,2023-10-12,2023-10-12,2023-10-12,Bug
DATA-92,2023-10-15,,,2023-10-15,2023-10-18,2023-10-18,Task
DATA-93,2023-10-15,,,,,,Bug
DATA-94,2023-10-15,,,,,,Task
DATA-95,2023-10-15,,,,,,Task
DATA-96,2023-10-15,,,,,,Task
DATA-97,2023-10-16,,,2023-10-17,,2023-10-17,Task
DATA-98,2023-10-17,,,,,,Story
DATA-99,2023-10-19,,,,,,Task
DATA-100,2023-10-19,,,,,,Task
DATA-101,2023-10-19,,,,,,Task
DATA-102,2023-10-19,,2023-10-22,2023-10-22,2023-10-24,2023-10-30,Task
DATA-103,2023-10-19,,,,,,Task
DATA-104,2023-10-24,,2023-10-30,2023-10-31,2023-11-02,2023-11-07,Task
DATA-105,2023-10-24,,,,,,Task
DATA-106,2023-10-24,,,,,2023-11-26,Task
DATA-107,2023-10-24,,,,,,Task
DATA-108,2023-10-24,,2023-10-24,,2023-10-25,2023-10-30,Task
DATA-109,2023-10-24,,,,,,Task
DATA-110,2023-10-24,,,,,2023-11-26,Task
DATA-111,2023-10-24,,,,,,Story
DATA-112,2023-11-06,2023-11-06,2023-11-07,2023-11-07,2023-11-12,2023-11-12,Story
DATA-113,2023-11-07,,,,,,Task
DATA-114,2023-11-07,,2024-01-22,2024-01-23,,2024-01-23,Story
DATA-115,2023-11-08,,2023-11-08,2023-11-11,,2023-11-15,Task
DATA-116,2023-11-08,2023-11-21,,2023-11-30,2023-12-13,2023-12-13,Bug
DATA-117,2023-11-09,2023-11-09,2023-11-21,2023-11-26,,2023-11-28,Bug
DATA-118,2023-11-12,,,,,,TaskPentest
DATA-119,2023-11-12,,,,,,TaskPentest
DATA-120,2023-11-12,,,,,,TaskPentest
DATA-121,2023-11-12,,,,,,TaskPentest
DATA-122,2023-11-12,,,,,,TaskPentest
DATA-123,2023-11-13,,,,,,Task
DATA-124,2023-11-13,,,,2023-11-26,2023-11-26,Story
DATA-125,2023-11-13,2023-11-15,,2023-11-20,,2023-11-21,Task
DATA-126,2023-11-15,,2023-11-15,2023-11-15,2023-11-15,2023-11-16,Task
DATA-127,2023-11-15,,,,,2023-12-03,Bug
DATA-128,2023-11-15,,,,,,Story
DATA-129,2023-11-20,,,,,,Task
DATA-130,2023-11-21,,2023-11-21,2023-11-30,2023-12-06,2023-12-06,Bug
DATA-131,2023-11-22,,,2023-11-22,,2023-12-03,Task
DATA-132,2023-11-28,2023-12-03,2023-12-03,2023-12-10,2023-12-12,2023-12-12,Story
DATA-133,2023-11-29,,2023-12-17,2023-12-20,2024-01-08,2024-01-08,Story
DATA-134,2023-11-29,,,,,,Task
DATA-135,2023-12-03,,,2023-12-03,,2023-12-03,Task
DATA-136,2023-12-03,,,,,,Story
DATA-137,2023-12-03,,,,,,Story
DATA-138,2023-12-04,2023-12-04,2023-12-04,2023-12-04,2023-12-04,2023-12-04,Story
DATA-139,2023-12-06,2023-12-17,2023-12-19,2024-01-07,,2024-01-10,Story
DATA-140,2023-12-06,2024-01-10,2024-01-14,2024-01-18,2024-01-22,2024-01-22,Story
DATA-141,2023-12-06,2024-01-14,2024-01-14,2024-01-17,2024-01-18,2024-01-18,Story
DATA-142,2023-12-06,,2024-01-25,2024-01-28,2024-01-29,2024-01-29,Story
DATA-143,2023-12-06,2024-01-16,2024-01-16,2024-01-16,2024-01-22,2024-01-22,Story
DATA-144,2023-12-06,2024-01-16,2024-01-16,2024-01-17,2024-01-22,2024-01-22,Story
DATA-145,2023-12-06,2024-01-16,2024-01-18,2024-01-20,2024-01-20,2024-01-21,Story
DATA-146,2023-12-06,2024-01-22,,2024-01-23,,,Story
DATA-147,2023-12-06,2024-01-22,2024-01-24,,,,Story
DATA-148,2023-12-06,2024-01-21,,2024-01-21,2024-01-24,2024-01-24,Story
DATA-149,2023-12-06,2024-01-21,2024-01-22,2024-01-24,2024-01-24,2024-01-24,Story
DATA-150,2023-12-10,,,,,,Story
DATA-151,2023-12-10,,2023-12-10,,2023-12-10,2023-12-12,Bug
DATA-152,2023-12-10,,,,,,Bug
DATA-153,2023-12-11,,,,,,Story
DATA-154,2023-12-12,,,,,,Task
DATA-155,2023-12-12,,,,,,Task
DATA-156,2023-12-14,,,,,,Story
DATA-157,2023-12-14,,,,,,Task
DATA-158,2023-12-17,,,2023-12-19,,2024-01-17,Bug
DATA-159,2023-12-18,,,,,,Task
DATA-160,2023-12-18,,,,,,Task
DATA-161,2024-01-08,,,,,,Story
DATA-162,2024-01-08,,,,,,Story
DATA-163,2024-01-08,,,,,,Story
DATA-164,2024-01-08,,,,,,Story
DATA-165,2024-01-08,,,,,,Story
DATA-166,2024-01-08,,,,,,Story
DATA-167,2024-01-09,2024-01-09,,,,2024-01-09,Bug
DATA-168,2024-01-09,,,2024-01-09,2024-01-09,2024-01-09,Bug
DATA-169,2024-01-09,,,,,,Task
DATA-170,2024-01-09,2024-01-09,2024-01-10,2024-01-10,2024-01-16,2024-01-16,Bug
DATA-171,2024-01-14,,,,,,Bug
DATA-172,2024-01-16,,,,,,Bug
DATA-173,2024-01-16,,,2024-01-17,,2024-01-21,Bug
DATA-174,2024-01-16,,,,,,Bug
DATA-175,2024-01-16,,,,,,Task
DATA-176,2024-01-21,,,2024-01-22,2024-01-22,2024-01-23,Task
DATA-177,2024-01-22,,2024-01-22,2024-01-23,,2024-01-25,Task
DATA-178,2024-01-22,2024-01-23,2024-01-23,2024-01-24,2024-01-25,2024-01-25,Story
